Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.velocity.runtime.directive.VelocimacroProxy.parseTree(java.lang.String[]);org.apache.velocity.util.StringUtils;0;0;0;0;0;0;0;0
org.apache.velocity.test.MultiLoaderTestCase.runTest();org.apache.velocity.app.Velocity;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.Parser.jj_scan_token(int);org.apache.velocity.runtime.parser.Token;1;3;2;0.9782608695652174;0.9090909090909091;24;2612;9
org.apache.velocity.runtime.parser.node.ASTDirective.init(java.lang.Object, org.apache.velocity.context.InternalContextAdapter);org.apache.velocity.runtime.directive.Directive;0;0;0;0;0;0;0;0
org.apache.velocity.util.introspection.IntrospectorBase.getMethod(java.lang.Class, java.lang.Object[], java.lang.String);org.apache.velocity.util.introspection.ClassMap;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.node.ASTEscapedDirective.render(java.io.Writer, org.apache.velocity.context.InternalContextAdapter);org.apache.velocity.runtime.parser.Token;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.visitor.BaseVisitor.visit(java.lang.Object, org.apache.velocity.runtime.parser.node.ASTIdentifier);org.apache.velocity.runtime.parser.node.SimpleNode;1;0;1;1.0;1.0;4;134;124
org.apache.velocity.runtime.parser.node.BooleanPropertyExecutor.discover(java.lang.Class, java.lang.String);org.apache.velocity.util.introspection.Introspector;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.Parser.getNextToken();org.apache.velocity.runtime.parser.Token;0;2;2;0.9854014598540146;1.0;7;2612;9
org.apache.velocity.runtime.visitor.BaseVisitor.visit(java.lang.Object, org.apache.velocity.runtime.parser.node.ASTObjectArray);org.apache.velocity.runtime.parser.node.SimpleNode;1;0;1;1.0;1.0;4;134;124
org.apache.velocity.app.VelocityEngine.setExtendedProperties(org.apache.velocity.app.ExtendedProperties);org.apache.velocity.runtime.RuntimeInstance;0;0;0;0;0;0;0;0
org.apache.velocity.util.introspection.ClassMap.populateMethodCache();org.apache.velocity.util.introspection.MethodMap;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.resource.loader.JarResourceLoader.loadJar(java.lang.String);org.apache.velocity.runtime.resource.loader.ResourceLoader;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.visitor.BaseVisitor.visit(java.lang.Object, org.apache.velocity.runtime.parser.node.ASTAssignment);org.apache.velocity.runtime.parser.node.SimpleNode;1;0;1;1.0;1.0;4;134;124
org.apache.velocity.runtime.resource.loader.JarResourceLoader.getResourceStream(java.lang.String);org.apache.velocity.runtime.resource.loader.JarHolder;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.node.ASTGTNode.evaluate(org.apache.velocity.context.InternalContextAdapter);org.apache.velocity.runtime.parser.node.SimpleNode;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.Parser.Word();org.apache.velocity.runtime.parser.JJTParserState;2;1;1;0.9928571428571429;0.9473684210526316;13;2612;74
org.apache.velocity.runtime.visitor.BaseVisitor.visit(java.lang.Object, org.apache.velocity.runtime.parser.node.ASTTrue);org.apache.velocity.runtime.parser.node.SimpleNode;1;0;1;1.0;1.0;4;134;124
org.apache.velocity.runtime.parser.node.ASTMethod.doIntrospection(java.lang.Class, java.lang.Object[], org.apache.velocity.context.InternalContextAdapter);org.apache.velocity.runtime.parser.node.SimpleNode;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.Parser.MultiplicativeExpression();org.apache.velocity.runtime.parser.JJTParserState;4;6;1;0.9589041095890412;0.8928571428571429;129;2612;74
org.apache.velocity.runtime.resource.ResourceManagerImpl.loadResource(int, java.lang.String, java.lang.String);org.apache.velocity.runtime.resource.loader.ResourceLoader;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.parser.node.ASTLTNode.evaluate(org.apache.velocity.context.InternalContextAdapter);org.apache.velocity.runtime.parser.node.SimpleNode;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.visitor.BaseVisitor.visit(java.lang.Object, org.apache.velocity.runtime.parser.node.SimpleNode);org.apache.velocity.runtime.parser.node.SimpleNode;1;0;1;1.0;1.0;4;134;124
org.apache.velocity.runtime.parser.Parser.False();org.apache.velocity.runtime.parser.JJTParserState;2;1;1;0.9928571428571429;0.9473684210526316;13;2612;74
org.apache.velocity.runtime.parser.node.SimpleNode.jjtClose();org.apache.velocity.runtime.parser.Parser;1;1;2;0.9655172413793104;0.9928057553956835;4;124;2612
org.apache.velocity.texen.ant.TexenTask.execute();org.apache.velocity.exception.MethodInvocationException;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.directive.VelocimacroProxy.parseTree(java.lang.String[]);org.apache.velocity.runtime.parser.node.SimpleNode;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.visitor.BaseVisitor.visit(java.lang.Object, org.apache.velocity.runtime.parser.node.ASTElseIfStatement);org.apache.velocity.runtime.parser.node.SimpleNode;1;0;1;1.0;1.0;4;134;124
org.apache.velocity.runtime.parser.node.ASTExpression.evaluate(org.apache.velocity.context.InternalContextAdapter);org.apache.velocity.runtime.parser.node.SimpleNode;0;0;0;0;0;0;0;0
org.apache.velocity.runtime.RuntimeInstance.initializeLogger();org.apache.velocity.runtime.log.PrimordialLogSystem;0;0;0;0;0;0;0;0
