Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.derby.jdbc.EmbeddedSimpleDataSource.findDriver();org.apache.derby.iapi.services.i18n.MessageService;0;1;3;0.9583333333333334;1.0;13;113;169
org.apache.derby.impl.sql.compile.InListOperatorNode.preprocess(int, org.apache.derby.impl.sql.compile.FromList, org.apache.derby.impl.sql.compile.PredicateList, org.apache.derby.impl.sql.compile.SubqueryList);org.apache.derby.impl.sql.compile.BetweenOperatorNode;1;1;12;0.9714285714285714;1.0;37;173;65
org.apache.derby.impl.store.access.heap.Heap.create(int, int, java.util.Properties, long, org.apache.derby.iapi.store.raw.Transaction, org.apache.derby.iapi.types.DataValueDescriptor[]);org.apache.derby.impl.store.access.conglomerate.ConglomerateUtil;0;2;2;0.9591836734693877;1.0;34;243;76
org.apache.derby.impl.store.raw.log.LogToFile.run();org.apache.derby.iapi.util.ReuseFactory;0;5;2;0.9662162162162162;1.0;27;1829;36
org.apache.derby.impl.sql.compile.TernaryOperatorNode.constantExpression(org.apache.derby.impl.sql.compile.PredicateList);org.apache.derby.impl.sql.compile.ValueNode;1;0;1;1.0;0.9811320754716981;3;316;307
org.apache.derby.impl.sql.compile.HalfOuterJoinNode.preprocess(int, org.apache.derby.impl.sql.compile.FromList, org.apache.derby.impl.sql.compile.GroupByList);org.apache.derby.impl.sql.compile.TableOperatorNode;0;2;2;0.9047619047619048;1.0;14;265;285
org.apache.derby.impl.sql.compile.ResultSetNode.genNewRCForInsert(int, org.apache.derby.iapi.sql.dictionary.DataDictionary, org.apache.derby.iapi.sql.dictionary.TableDescriptor, org.apache.derby.impl.sql.compile.FromVTI);org.apache.derby.iapi.sql.dictionary.TableDescriptor;1;2;9;0.9801980198019802;0.9852941176470589;35;488;366
org.apache.derby.impl.services.monitor.ServiceBootContext.cleanupOnError(java.lang.Throwable);org.apache.derby.iapi.services.context.ContextImpl;1;0;1;1.0;0.8;3;9;23
org.apache.derby.iapi.services.context.ContextService.getCurrentContextManager();org.apache.derby.iapi.services.context.ContextManager;1;1;1;0.9285714285714286;0.96875;16;175;216
org.apache.derby.impl.sql.compile.SubqueryList.modifyAccessPaths();org.apache.derby.impl.sql.compile.QueryTreeNodeVector;2;0;2;1.0;0.875;8;76;63
