Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.argouml.uml.ui.behavior.use_cases.ActionNewUseCase;16;1;0;0.0000;0;5.0;4
org.argouml.ui.PredicateMType;41;5;0;0.0000;0;1.0;10
org.argouml.uml.ui.UMLModelElementOrderedListModel2;16;4;0;0.0000;0;0.0;6
org.argouml.uml.cognitive.critics.CrInterfaceWithoutComponent;43;4;0;0.0000;1;3.0;13
org.argouml.uml.ui.foundation.core.UMLAssociationLinkListModel;11;2;0;0.0000;0;1.0;4
org.argouml.uml.ui.MoveDownAction;11;2;2;0.0000;0;0.0;3
org.argouml.uml.ui.behavior.state_machines.UMLStateMachineTransitionListModel;9;2;0;0.0000;0;1.0;3
org.argouml.uml.ui.behavior.use_cases.UMLUseCaseExtendListModel;9;2;0;0.0000;0;1.0;3
org.argouml.uml.diagram.ui.ActionAddNote;67;2;1;1.0000;0;8.0;19
org.argouml.uml.ui.ActionBaseDelete;141;6;0;0.0000;0;6.0;35
org.argouml.ui.explorer.rules.GoCompositeStateToSubvertex;17;3;0;0.0000;0;1.0;5
org.argouml.uml.diagram.deployment.ui.SelectionNode;118;8;2;0.9375;0;4.0;26
org.argouml.uml.ui.behavior.common_behavior.UMLStimulusReceiverListModel;10;2;0;0.0000;0;1.0;3
org.argouml.cognitive.checklist.ChecklistStatus;39;7;2;0.6875;0;0.0;11
org.argouml.cognitive.ui.WizDescription;61;1;2;0.5000;0;1.0;10
org.argouml.uml.ui.foundation.core.PropPanelComment;15;0;0;0.0000;0;1.0;1
org.argouml.application.helpers.DiagramHelper;25;7;1;1.0000;0;0.0;9
org.argouml.uml.ui.behavior.use_cases.PropPanelActor;17;0;0;0.0000;0;1.0;1
org.argouml.application.api.QuadrantPanel;1;1;8;0.0000;0;0.0;1
org.argouml.uml.cognitive.critics.CrNameConfusion;115;10;0;0.0000;1;5.0;36
org.argouml.uml.ui.UMLPlainTextDocument;87;11;5;0.9294;0;2.0;26
org.argouml.ui.explorer.rules.GoTransitiontoEffect;19;3;0;0.0000;0;1.0;5
org.argouml.uml.ui.foundation.core.UMLModelElementVisibilityRadioButtonPanel;21;1;1;1.0000;0;9.0;7
org.argouml.ui.explorer.ExplorerEventAdaptor;69;6;2;0.6429;0;8.0;26
org.argouml.language.java.cognitive.critics.CrMultipleInheritance;33;3;0;0.0000;1;3.0;8
org.argouml.ui.TabResults;157;17;17;0.9272;0;2.0;43
org.argouml.notation.Notation;333;65;13;0.9790;1;4.0;103
org.argouml.uml.ui.foundation.core.UMLClassifierFeatureListModel;25;3;0;0.0000;0;2.0;5
org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous;17;1;1;1.0000;0;3.0;5
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState;19;1;2;1.0000;0;2.0;4
org.argouml.uml.ui.ScrollList;0;0;0;0;0;0;0
org.argouml.util.SuffixFilter;31;5;2;0.6667;0;0.0;13
org.argouml.uml.ui.behavior.collaborations.ActionSetAssociationRoleBase;17;1;1;1.0000;0;2.0;6
org.argouml.notation.NotationProviderFactory2;82;6;8;0.9792;0;0.0;22
org.argouml.uml.ui.behavior.use_cases.UMLExtendExtensionListModel;10;2;0;0.0000;0;1.0;4
org.argouml.uml.cognitive.critics.CrClassMustBeAbstract;15;1;0;0.0000;1;3.0;6
org.argouml.moduleloader.ModuleStatus;26;5;2;0.6667;0;0.0;8
org.argouml.uml.generator.AbstractSection;110;4;3;0.6667;0;0.0;24
org.argouml.cognitive.checklist.ui.TabChecklist;89;10;4;0.8864;0;1.0;17
org.argouml.uml.ui.behavior.state_machines.PropPanelGuard;15;0;0;0.0000;0;1.0;1
