Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.html.dom.HTMLLinkElementImpl;57;18;0;0.0000;0;0.0;19
org.apache.xerces.dom.ElementNSImpl;149;10;5;0.8714;0;9.0;48
org.apache.xerces.parsers.XML11NonValidatingConfiguration;0;0;0;0;0;0;0
org.apache.xerces.dom3.as.ASObject;12;12;6;1.0909;0;0.0;12
org.apache.xerces.impl.xpath.regex.Match;79;11;6;0.6667;0;0.0;34
org.apache.wml.dom.WMLEmElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.impl.dv.xs.FullDVFactory;82;3;2;0.7500;1;23.0;3
org.apache.xerces.parsers.XML11DTDConfiguration;0;0;0;0;0;0;0
org.apache.xerces.xs.datatypes.XSQName;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.identity.IdentityConstraint;84;11;7;0.8947;0;1.0;30
org.apache.xerces.dom.AttrNSImpl;137;9;5;0.8833;0;8.0;47
org.apache.xerces.parsers.StandardParserConfiguration;73;3;9;0.9815;1;14.0;20
org.apache.wml.dom.WMLPrevElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.dom.DOMErrorImpl;32;2;6;0.9074;1;4.0;10
org.apache.wml.WMLUElement;2;2;0;0.0000;0;0.0;2
org.apache.html.dom.HTMLTextAreaElementImpl;70;22;0;0.0000;0;0.0;27
org.apache.xml.serialize.Printer;154;16;8;0.6838;0;0.0;45
org.apache.wml.WMLIElement;2;2;0;0.0000;0;0.0;2
org.apache.html.dom.HTMLHeadingElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.html.dom.HTMLLIElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.xs.XSTerm;0;0;0;0.0000;0;0.0;0
org.apache.html.dom.HTMLFrameSetElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.impl.xs.XMLSchemaException;10;0;2;0.5000;0;0.0;3
org.apache.xerces.dom.DeferredNode;1;1;1;0.0000;0;0.0;1
org.apache.xerces.parsers.DOMParserImpl;386;11;12;0.9375;1;39.0;131
org.apache.xerces.impl.dtd.XMLDTDDescription;76;4;2;0.3750;1;4.0;31
org.apache.xml.serialize.HTMLSerializer;428;12;3;0.8431;1;26.0;148
org.apache.xerces.impl.xs.util.XSGrammarPool;0;0;0;0;0;0;0
org.apache.xerces.dom.DeferredElementNSImpl;40;2;2;0.6667;0;2.0;6
org.apache.wml.dom.WMLAccessElementImpl;27;8;0;0.0000;0;0.0;9
org.apache.xerces.impl.dv.InvalidDatatypeValueException;3;0;0;0.0000;0;0.0;1
org.apache.xerces.jaxp.UnparsedEntityHandler;0;0;0;0;0;0;0
org.apache.xerces.dom3.as.ASNotationDeclaration;4;4;0;0.0000;0;0.0;4
org.apache.xerces.dom.DeferredAttrImpl;23;2;2;0.6667;0;0.0;4
org.apache.xerces.dom.ObjectFactory;215;7;4;0.8750;0;0.0;53
org.apache.xerces.impl.XMLScanner;664;25;29;0.9368;1;13.0;203
org.apache.xerces.dom.ASDOMImplementationImpl;13;3;1;1.0000;0;2.0;4
org.apache.xerces.xs.XSAttributeDeclaration;6;6;0;0.0000;0;0.0;6
org.apache.xerces.impl.xs.traversers.OneAttr;6;0;4;0.0000;0;0.0;1
org.apache.xerces.impl.XMLEntityScanner;915;28;7;0.8048;0;19.0;249
org.apache.html.dom.HTMLHeadElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.wml.dom.WMLOptionElementImpl;39;12;0;0.0000;0;0.0;13
org.apache.xerces.impl.xs.XSNotationDecl;21;3;4;1.0000;0;1.0;7
org.apache.xerces.dom.ProcessingInstructionImpl;34;6;2;0.9167;0;1.0;11
org.apache.xerces.dom.CommentImpl;9;2;1;1.5000;0;1.0;3
org.apache.xerces.impl.dv.SecuritySupport;34;9;1;1.0000;0;0.0;10
org.apache.xerces.impl.xs.util.StringListImpl;18;1;3;0.4444;0;0.0;7
org.apache.xerces.parsers.XMLParser;10;2;4;1.1250;0;0.0;3
org.apache.xerces.impl.dv.XSFacets;0;0;13;0.0000;0;0.0;0
org.apache.xerces.impl.XMLEntityDescription;0;0;0;0;0;0;0
org.apache.xerces.dom.PSVIDocumentImpl;22;5;0;0.0000;0;0.0;7
org.apache.xerces.util.DefaultErrorHandler;35;4;1;0.8000;1;3.0;8
org.apache.xerces.impl.xs.SchemaGrammar;226;38;35;0.9773;1;17.0;71
