Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.xerces.impl.xs.XMLSchemaValidator.getEmptyAugs(Augmentations);org.apache.xerces.xni.Augmentations;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.ElementImpl.setAttributeNodeNS(Attr);org.apache.xerces.dom.AttributeMap;4;1;1;0.9524;392;34;3;1;0;0.9524;309;14;0
org.apache.xerces.parsers.XML11NonValidatingConfiguration.reset();org.apache.xerces.xni.parser.XMLComponent;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.DOMNormalizer.namespaceFixUp(ElementImpl, AttributeMap);org.apache.xerces.dom.NodeImpl;6;3;11;0.7000;483;15;19;2;0;0.9804;591;78;21
org.apache.xerces.jaxp.validation.DOMValidatorHelper.DOMNamespaceContext.getPrefix(String);org.apache.xerces.jaxp.validation.DOMValidatorHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDHandler.findGrammar(XSDDescription);org.apache.xerces.xni.grammars.XMLGrammarPool;1;1;2;0.9670;992;32;74;1;0;0.9167;6;6;0
org.apache.xerces.impl.xs.traversers.XSDHandler.findQName(String, XSDocumentInfo);org.apache.xerces.util.SymbolTable;1;0;2;0.9783;992;32;74;1;0;0.9375;84;6;3
org.apache.html.dom.HTMLCollectionImpl.item(Element, CollectionIndex);org.apache.html.dom.CollectionIndex;1;3;0;0.8333;120;8;13;2;0;0.6000;12;2;1
org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser.traverseGlobal(Element, XSDocumentInfo, SchemaGrammar);org.apache.xerces.util.DOMUtil;5;0;0;1.0000;63;2;0;3;0;1.0000;405;35;0
org.apache.xerces.dom.RangeImpl.checkIndex(Node, int);org.apache.xerces.dom.DOMMessageFormatter;4;0;0;1.0000;878;50;14;1;1;1.0000;28;1;2
org.apache.xerces.dom.CoreDocumentImpl.checkQName(String, String);org.apache.xerces.dom.DOMMessageFormatter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDGroupTraverser.traverseGlobal(Element, XSDocumentInfo, SchemaGrammar);org.apache.xerces.util.DOMUtil;7;0;0;1.0000;90;2;0;2;0;1.0000;405;35;0
org.apache.xerces.dom.DOMNormalizer.updateQName(Node, QName);org.apache.xerces.xni.QName;2;0;1;0.9706;483;15;19;0;4;0.7500;77;7;4
org.apache.xerces.impl.dv.xs.BooleanDV.getAllowedFacets();org.apache.xerces.xs.XSSimpleTypeDefinition;1;0;0;1.0000;10;2;1;0;2;1.0000;18;18;20
org.apache.xerces.impl.xs.XMLSchemaValidator.processElementContent(QName);org.apache.xerces.impl.xs.SchemaSymbols;10;2;8;0.9259;1327;50;99;0;2;1.0000;0;0;161
org.apache.xerces.impl.xs.XMLSchemaLoader.resolveDocument(XSDDescription, Hashtable, XMLEntityResolver);org.apache.xerces.util.XMLResourceIdentifierImpl;2;0;1;1.0000;317;16;29;0;3;0.8125;76;4;4
