Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.argouml.ui.PredicateMType;34;7;0;0.0;0;0
org.argouml.uml.ui.behavior.use_cases.ActionNewUseCase;0;0;0;0;0;0
org.argouml.uml.ui.UMLModelElementOrderedListModel2;13;6;0;0.0;0;0
org.argouml.uml.ui.foundation.core.UMLAssociationLinkListModel;11;3;0;0.0;0;0
org.argouml.uml.cognitive.critics.CrInterfaceWithoutComponent;43;5;0;0.0;0;2
org.argouml.uml.ui.MoveDownAction;11;3;2;0.0;0;0
org.argouml.uml.ui.behavior.state_machines.UMLStateMachineTransitionListModel;9;3;0;0.0;0;0
org.argouml.uml.ui.behavior.use_cases.UMLUseCaseExtendListModel;9;3;0;0.0;0;0
org.argouml.uml.ui.ActionBaseDelete;0;0;0;0;0;0
org.argouml.uml.diagram.ui.ActionAddNote;62;3;1;0.0;0;0
org.argouml.ui.explorer.rules.GoCompositeStateToSubvertex;17;3;0;0.0;0;0
org.argouml.uml.ui.behavior.common_behavior.UMLStimulusReceiverListModel;10;3;0;0.0;0;0
org.argouml.uml.diagram.deployment.ui.SelectionNode;121;9;2;0.0;0;2
org.argouml.cognitive.checklist.ChecklistStatus;39;9;2;0.2857142857142857;0;0
org.argouml.cognitive.ui.WizDescription;61;2;2;0.0;0;0
org.argouml.uml.ui.foundation.core.PropPanelComment;17;1;0;0.0;0;0
org.argouml.application.helpers.DiagramHelper;26;9;2;1.1428571428571428;0;0
org.argouml.uml.ui.behavior.use_cases.PropPanelActor;17;1;0;0.0;0;0
org.argouml.uml.cognitive.critics.CrNameConfusion;91;11;0;0.0;0;2
org.argouml.uml.ui.UMLPlainTextDocument;85;18;5;0.8928571428571429;0;0
org.argouml.ui.explorer.rules.GoTransitiontoEffect;0;0;0;0;0;0
org.argouml.uml.ui.foundation.core.UMLModelElementVisibilityRadioButtonPanel;21;2;1;0.0;0;3
org.argouml.ui.explorer.ExplorerEventAdaptor;68;8;2;0.16666666666666666;0;4
org.argouml.language.java.cognitive.critics.CrMultipleInheritance;33;4;0;0.0;0;2
org.argouml.ui.TabResults;157;22;17;0.9360901682000411;0;1
org.argouml.notation.Notation;0;0;0;0;0;0
org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous;0;0;0;0;0;0
org.argouml.uml.ui.foundation.core.UMLClassifierFeatureListModel;25;4;0;0.0;0;0
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState;19;3;2;0.0;0;1
org.argouml.uml.ui.ScrollList;0;0;0;0;0;0
org.argouml.uml.ui.behavior.collaborations.ActionSetAssociationRoleBase;17;3;1;0.0;0;0
org.argouml.util.SuffixFilter;28;6;2;0.75;0;0
org.argouml.uml.ui.behavior.use_cases.UMLExtendExtensionListModel;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.CrClassMustBeAbstract;15;2;0;0.0;0;2
org.argouml.notation.NotationProviderFactory2;0;0;0;0;0;0
org.argouml.moduleloader.ModuleStatus;26;7;2;0.6666666666666666;0;0
org.argouml.uml.generator.AbstractSection;110;5;3;0.6666666666666666;0;0
org.argouml.cognitive.checklist.ui.TabChecklist;89;12;4;0.925;0;1
org.argouml.uml.ui.behavior.state_machines.PropPanelGuard;15;1;0;0.0;0;0
org.argouml.uml.cognitive.critics.CrCrossNamespaceAssoc;22;2;0;0.0;0;2
org.argouml.application.PostLoad;22;2;2;0.0;0;0
org.argouml.ui.explorer.rules.GoSummaryToOutgoingDependency;23;3;0;0.0;0;0
org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer;96;2;2;0.0;0;0
org.argouml.model.uml.DataTypesFactoryImpl;68;14;1;1.0833333333333333;0;0
org.argouml.uml.ui.behavior.common_behavior.PropPanelReception;22;1;0;0.0;0;0
org.argouml.uml.ui.behavior.common_behavior.UMLSignalContextListModel;11;3;0;0.0;0;0
org.argouml.uml.ui.behavior.state_machines.ActionNewPseudoState;17;3;1;0.0;0;0
org.argouml.uml.diagram.sequence.ui.ActionAddClassifierRole;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.WizMEName;50;8;6;0.8000000317891439;0;0
org.argouml.uml.diagram.UMLMutableGraphSupport;191;22;4;0.9166666984558105;0;0
org.argouml.uml.ui.foundation.core.UMLAssociationEndTargetScopeCheckbox;9;2;0;0.0;0;0
