Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.javacc.parser.ParseException;0;0;0;0;0;0
org.javacc.jjtree.NodeScope;187;17;6;0.8666666666666667;0;7
org.javacc.jjtree.ASTBNFNodeScope;13;2;2;0.0;0;0
org.javacc.jjtree.ASTCharDescriptor;0;0;0;0;0;0
org.javacc.parser.OutputFile;156;10;12;0.9350649226795543;0;2
org.javacc.jjtree.ASTBNFZeroOrMore;0;0;0;0;0;0
org.javacc.jjtree.ASTBNFOneOrMore;0;0;0;0;0;0
org.javacc.jjtree.ASTCompilationUnit;40;2;0;0.0;0;7
org.javacc.parser.Token;0;0;0;0;0;0
org.javacc.parser.REndOfFile;0;0;0;0;0;0
org.javacc.parser.JavaCCErrors;78;13;1;0.0;1;13
org.javacc.jjtree.Token;0;0;0;0;0;0
org.javacc.parser.OtherFilesGenCPP;0;0;0;0;0;0
org.javacc.jjtree.ASTOptions;3;1;0;0.0;0;0
org.javacc.jjtree.ASTProductions;0;0;0;0;0;0
org.javacc.jjtree.ASTRENamed;0;0;0;0;0;0
org.javacc.parser.Phase3Data;4;1;2;0.0;0;0
org.javacc.parser.ExpansionTest;72;10;2;0.3333333333333333;0;14
org.javacc.jjtree.ASTProduction;11;2;4;0.0;0;0
org.javacc.parser.JavaCodeProduction;0;0;1;0.0;0;0
org.javacc.jjtree.ASTRESpec;0;0;0;0;0;0
org.javacc.jjtree.ASTBNFTryBlock;0;0;0;0;0;0
org.javacc.jjtree.NodeFiles;335;11;2;0.0;0;4
org.javacc.jjtree.ASTBNFChoice;0;0;0;0;0;0
org.javacc.parser.ParseGen;715;2;1;0.0;0;14
org.javacc.parser.RegExprSpec;0;0;4;0.0;0;0
org.javacc.parser.LookaheadCalc;223;8;0;0.0;0;15
org.javacc.parser.OneOrMore;15;3;1;0.0;0;1
org.javacc.jjtree.ASTRRepetitionRange;0;0;0;0;0;0
jjtree;5;2;0;0.0;0;0
org.javacc.jjtree.JJTreeParser;0;0;0;0;0;0
org.javacc.jjdoc.HTMLGenerator;141;23;2;1.0;0;4
org.javacc.jjtree.ASTNodeDescriptor;89;15;7;0.7884615384615384;0;2
org.javacc.utils.JavaCharStream;0;0;0;0;0;0
org.javacc.jjtree.SimpleNode;0;0;0;0;0;0
org.javacc.parser.MetaParseException;0;0;0;0.0;0;0
org.javacc.parser.RCharacterList;208;10;5;0.7142857142857143;0;7
org.javacc.jjtree.IO;99;14;6;0.8472221692403158;0;1
org.javacc.jjdoc.JJDocMain;128;4;0;0.0;0;3
org.javacc.parser.ParseGenCPP;0;0;0;0;0;0
org.javacc.jjdoc.JJDocOptions;22;6;0;0.0;0;3
org.javacc.jjtree.ASTBNFSequence;0;0;0;0;0;0
org.javacc.jjtree.ASTRE;0;0;0;0;0;0
org.javacc.parser.Expansion;22;6;9;1.1;0;0
org.javacc.parser.ZeroOrMore;15;3;1;0.0;0;1
org.javacc.parser.Main;159;5;0;0.0;0;6
org.javacc.jjdoc.JJDoc;333;17;0;0.0;1;42
org.javacc.utils.Token;0;0;0;0;0;0
org.javacc.utils.ConditionParserTokenManager;0;0;0;0;0;0
org.javacc.jjtree.ASTREReference;0;0;0;0;0;0
org.javacc.jjtree.JJTreeOptionsTest;0;0;0;0;0;0
org.javacc.parser.JavaCCParserTokenManager;0;0;0;0;0;0
org.javacc.jjtree.ASTBNFParenthesized;0;0;0;0;0;0
org.javacc.jjtree.ASTRESequence;0;0;0;0;0;0
org.javacc.parser.LexGenCPP;0;0;0;0;0;0
org.javacc.parser.Options;265;38;3;0.0;0;3
org.javacc.parser.ParseEngine;1016;18;14;0.0;0;53
org.javacc.parser.NormalProduction;19;3;14;1.40625;0;0
org.javacc.jjdoc.JJDocGlobals;35;5;3;0.0;0;0
org.javacc.parser.ROneOrMore;17;3;1;0.0;0;2
org.javacc.parser.NonTerminal;4;1;4;0.0;0;0
org.javacc.jjtree.ASTREStringLiteral;0;0;0;0;0;0
org.javacc.parser.RJustName;10;3;1;0.0;0;0
org.javacc.parser.JavaCCParser;0;0;0;0;0;0
javacc;5;2;0;0.0;0;0
org.javacc.jjtree.ASTJavacode;3;1;1;0.0;0;0
org.javacc.parser.ZeroOrOne;15;3;1;0.0;0;1
org.javacc.parser.JavaCCParserInternals;263;18;5;0.0;1;34
org.javacc.parser.TokenProduction;0;0;9;0.0;0;0
org.javacc.parser.MatchInfo;3;1;3;0.0;0;0
org.javacc.jjtree.JJTreeIOException;0;0;0;0;0;0
org.javacc.parser.CodeGenerator;0;0;0;0;0;0
org.javacc.parser.JavaCharStream;0;0;0;0;0;0
org.javacc.parser.Semanticize;647;9;4;1.0;1;59
org.javacc.jjtree.ASTREZeroOrMore;0;0;0;0;0;0
org.javacc.parser.RegularExpression;9;3;7;1.8571428060531616;0;0
org.javacc.JavaCCTestCase;12;4;0;0.0;0;0
org.javacc.jjtree.JJTreeParserDefaultVisitor;0;0;0;0;0;0
org.javacc.jjtree.JJTreeState;164;5;0;0.0;0;1
org.javacc.parser.BNFProduction;0;0;2;0.0;0;0
org.javacc.jjtree.ASTNodeDescriptorExpression;6;2;0;0.0;0;0
org.javacc.parser.CharacterRange;7;2;2;0.0;0;0
org.javacc.jjtree.JJTreeOptions;99;21;0;0.0;0;3
org.javacc.jjtree.ASTBNF;8;2;1;0.0;0;1
org.javacc.jjtree.JJTJJTreeParserState;0;0;0;0;0;0
org.javacc.jjtree.JJTreeGlobals;32;2;9;0.0;0;0
org.javacc.parser.RZeroOrMore;18;3;1;0.0;0;2
org.javacc.jjtree.JavaCharStream;0;0;0;0;0;0
org.javacc.parser.Container;0;0;1;0.0;0;0
org.javacc.jjtree.ASTBNFDeclaration;21;2;1;0.0;0;1
org.javacc.jjdoc.test.JJDocMainTest;0;0;0;0;0;0
org.javacc.jjtree.ASTREEOF;0;0;0;0;0;0
org.javacc.jjtree.ASTJavacodeBody;18;2;1;0.0;0;1
org.javacc.Version;0;0;0;0;0;0
org.javacc.parser.JavaCCGlobals;294;20;28;0.0;0;10
