Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.javacc.parser.ParseException;0;0;0;0;0;0
org.javacc.jjtree.NodeScope;187;17;6;0.8666666666666667;0;7
org.javacc.jjtree.ASTBNFNodeScope;13;2;2;0.0;0;0
org.javacc.jjtree.ASTCharDescriptor;0;0;0;0;0;0
org.javacc.parser.OutputFile;156;10;12;0.9350649226795543;0;2
org.javacc.jjtree.ASTBNFZeroOrMore;0;0;0;0;0;0
org.javacc.jjtree.ASTBNFOneOrMore;0;0;0;0;0;0
org.javacc.jjtree.ASTCompilationUnit;40;2;0;0.0;0;7
org.javacc.parser.Token;0;0;0;0;0;0
org.javacc.parser.REndOfFile;0;0;0;0;0;0
org.javacc.parser.JavaCCErrors;0;0;0;0;0;0
org.javacc.jjtree.Token;0;0;0;0;0;0
org.javacc.parser.OtherFilesGenCPP;0;0;0;0;0;0
org.javacc.jjtree.ASTOptions;3;1;0;0.0;0;0
org.javacc.jjtree.ASTProductions;0;0;0;0;0;0
org.javacc.jjtree.ASTRENamed;0;0;0;0;0;0
org.javacc.parser.Phase3Data;4;1;2;0.0;0;0
org.javacc.parser.ExpansionTest;72;10;2;0.3333333333333333;0;11
org.javacc.jjtree.ASTProduction;11;2;4;0.0;0;0
org.javacc.parser.JavaCodeProduction;3;1;1;0.0;0;0
org.javacc.jjtree.ASTRESpec;0;0;0;0;0;0
org.javacc.jjtree.ASTBNFTryBlock;0;0;0;0;0;0
org.javacc.jjtree.NodeFiles;160;11;2;0.0;0;4
org.javacc.jjtree.ASTBNFChoice;0;0;0;0;0;0
org.javacc.parser.ParseGen;709;2;0;0.0;0;3
org.javacc.parser.RegExprSpec;0;0;4;0.0;0;0
org.javacc.parser.LookaheadCalc;0;0;0;0;0;0
org.javacc.parser.OneOrMore;0;0;0;0;0;0
org.javacc.jjtree.ASTRRepetitionRange;0;0;0;0;0;0
jjtree;5;2;0;0.0;0;0
org.javacc.jjtree.JJTreeParser;0;0;0;0;0;0
org.javacc.jjdoc.HTMLGenerator;141;23;2;1.0;0;2
org.javacc.jjtree.ASTNodeDescriptor;89;15;7;0.7884615384615384;0;2
org.javacc.utils.JavaCharStream;0;0;0;0;0;0
org.javacc.jjtree.SimpleNode;0;0;0;0;0;0
org.javacc.parser.MetaParseException;0;0;0;0.0;0;0
org.javacc.parser.RCharacterList;0;0;0;0;0;0
org.javacc.jjtree.IO;99;14;6;0.8472221692403158;0;1
org.javacc.jjdoc.JJDocMain;0;0;0;0;0;0
org.javacc.parser.ParseGenCPP;399;2;0;0.0;0;5
org.javacc.jjdoc.JJDocOptions;26;7;0;0.0;0;3
org.javacc.jjtree.ASTBNFSequence;0;0;0;0;0;0
org.javacc.jjtree.ASTRE;0;0;0;0;0;0
org.javacc.parser.Expansion;34;10;10;1.0555555555555556;0;0
org.javacc.parser.ZeroOrMore;0;0;0;0;0;0
org.javacc.parser.Main;178;5;1;0.0;0;6
org.javacc.jjdoc.JJDoc;349;17;0;0.0;1;39
org.javacc.utils.Token;0;0;0;0;0;0
org.javacc.utils.ConditionParserTokenManager;0;0;0;0;0;0
org.javacc.jjtree.ASTREReference;0;0;0;0;0;0
org.javacc.jjtree.JJTreeOptionsTest;0;0;0;0;0;0
org.javacc.parser.JavaCCParserTokenManager;0;0;0;0;0;0
org.javacc.jjtree.ASTBNFParenthesized;0;0;0;0;0;0
org.javacc.jjtree.ASTRESequence;0;0;0;0;0;0
org.javacc.parser.LexGenCPP;756;13;0;0.0;1;70
org.javacc.parser.Options;309;47;4;0.0;0;3
org.javacc.parser.ParseEngine;1106;19;15;0.8851851887173123;0;24
org.javacc.parser.NormalProduction;0;0;0;0;0;0
org.javacc.jjdoc.JJDocGlobals;41;5;3;0.0;0;0
org.javacc.parser.ROneOrMore;17;3;1;0.0;0;2
org.javacc.parser.NonTerminal;28;9;4;0.84375;0;0
org.javacc.jjtree.ASTREStringLiteral;0;0;0;0;0;0
org.javacc.parser.RJustName;0;0;0;0;0;0
org.javacc.parser.JavaCCParser;0;0;0;0;0;0
javacc;5;2;0;0.0;0;0
org.javacc.jjtree.ASTJavacode;3;1;1;0.0;0;0
org.javacc.parser.ZeroOrOne;0;0;0;0;0;0
org.javacc.parser.JavaCCParserInternals;263;18;5;0.0;1;31
org.javacc.parser.TokenProduction;12;4;10;1.185185194015503;1;0
org.javacc.parser.MatchInfo;3;1;3;0.0;0;0
org.javacc.jjtree.JJTreeIOException;0;0;0;0;0;0
org.javacc.parser.CodeGenerator;212;26;5;0.9066666412353516;0;8
org.javacc.parser.JavaCharStream;0;0;0;0;0;0
org.javacc.parser.Semanticize;0;0;0;0;0;0
org.javacc.jjtree.ASTREZeroOrMore;0;0;0;0;0;0
org.javacc.parser.RegularExpression;0;0;0;0;0;0
org.javacc.JavaCCTestCase;12;4;0;0.0;0;0
org.javacc.jjtree.JJTreeParserDefaultVisitor;0;0;0;0;0;0
org.javacc.jjtree.JJTreeState;164;5;0;0.0;0;1
org.javacc.parser.BNFProduction;0;0;0;0;0;0
org.javacc.jjtree.ASTNodeDescriptorExpression;6;2;0;0.0;0;0
org.javacc.parser.CharacterRange;31;10;4;0.8571428571428571;0;0
org.javacc.jjtree.JJTreeOptions;99;21;0;0.0;0;3
org.javacc.jjtree.ASTBNF;8;2;1;0.0;0;1
org.javacc.jjtree.JJTJJTreeParserState;0;0;0;0;0;0
org.javacc.jjtree.JJTreeGlobals;32;2;9;0.0;0;0
org.javacc.parser.RZeroOrMore;18;3;1;0.0;0;2
org.javacc.jjtree.JavaCharStream;0;0;0;0;0;0
org.javacc.parser.Container;0;0;1;0.0;0;0
org.javacc.jjtree.ASTBNFDeclaration;21;2;1;0.0;0;1
org.javacc.jjdoc.test.JJDocMainTest;0;0;0;0;0;0
org.javacc.jjtree.ASTREEOF;0;0;0;0;0;0
org.javacc.jjtree.ASTJavacodeBody;18;2;1;0.0;0;1
org.javacc.Version;2;1;4;0.0;0;0
org.javacc.parser.JavaCCGlobals;314;22;30;0.0;0;10
