Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.derby.diag.SpaceTable;104;15;10;0.8125;0;5
org.apache.derby.impl.sql.compile.ReferencedTablesVisitor;26;5;1;0.6666666666666666;0;0
org.apache.derby.impl.jdbc.authentication.BasicAuthenticationServiceImpl;33;3;0;0.0;0;3
org.apache.derby.diag.TransactionTable;67;8;6;0.8571428571428571;0;3
org.apache.derby.impl.jdbc.EmbedSQLException;48;11;4;0.96875;0;0
org.apache.derby.impl.io.DirFile4;83;8;4;0.75;0;4
org.apache.derby.impl.store.access.btree.index.B2ITableLocking3;4;2;0;0.0;0;0
org.apache.derby.iapi.jdbc.BrokeredStatement40;21;5;0;0.0;0;1
org.apache.derby.impl.sql.execute.DropTriggerConstantAction;51;4;2;0.75;0;5
org.apache.derby.impl.sql.compile.SetOperatorNode;212;24;7;0.9350649226795543;0;15
org.apache.derby.impl.sql.execute.TriggerEvent;27;5;11;0.6666666666666666;0;0
org.apache.derby.impl.store.raw.xact.XactXAResourceManager;66;6;2;0.625;0;4
org.apache.derby.impl.store.raw.data.UpdateOperation;80;12;4;0.7222222222222222;0;6
org.apache.derby.impl.sql.compile.BinaryOperatorNode;234;27;28;0.7222222548264724;0;15
org.apache.derby.impl.sql.GenericStatement;223;11;5;0.8222221798366971;0;13
org.apache.derby.impl.sql.compile.StaticClassFieldReferenceNode;37;7;4;0.75;0;5
org.apache.derby.impl.store.raw.data.PhysicalPageOperation;11;4;0;0.0;0;0
org.apache.derby.iapi.sql.dictionary.IndexRowGenerator;124;27;2;0.5434782608695652;0;3
org.apache.derby.impl.store.access.conglomerate.GenericScanController;369;41;19;0.9157509436974158;0;12
org.apache.derby.impl.jdbc.UTF8Reader;198;12;10;0.7899999618530273;0;1
org.apache.derby.impl.sql.conn.GenericAuthorizer;104;12;7;0.775;0;25
org.apache.derby.iapi.types.XML;228;28;10;0.8799999872843425;0;10
org.apache.derby.impl.sql.compile.OrNode;142;8;1;0.8571428571428571;0;12
org.apache.derby.impl.jdbc.EmbedConnection;617;78;15;0.9577778116861979;0;41
org.apache.derby.impl.sql.execute.DeleteResultSet;227;13;25;0.8319999694824218;0;25
org.apache.derby.impl.store.raw.data.RawField;6;2;1;0.0;0;0
org.apache.derby.impl.sql.compile.GroupByList;148;10;1;0.8888888888888888;0;8
org.apache.derby.impl.sql.execute.TemporaryRowHolderResultSet;330;61;18;0.9588122532285493;0;12
org.apache.derby.impl.sql.compile.CompilerContextImpl;320;60;35;0.9724138194117052;0;13
org.apache.derby.impl.sql.compile.IndexToBaseRowNode;105;13;7;0.785714308420817;0;6
org.apache.derby.impl.sql.compile.DefaultVTIModDeferPolicy;26;6;2;1.0;0;3
org.apache.derby.impl.db.BasicDatabase;324;43;19;0.958921665098609;0;27
org.apache.derby.impl.store.raw.xact.NoLocking;25;10;0;0.0;0;1
org.apache.derby.impl.store.raw.data.EncryptContainerUndoOperation;44;12;1;0.6666666666666666;0;4
org.apache.derby.impl.store.raw.data.MemByteHolder;201;21;9;0.6023391924406353;0;1
org.apache.derby.iapi.services.cache.ClassSize;77;12;15;0.0;0;1
