Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.derby.diag.SpaceTable;104;15;10;0.8125;0;5
org.apache.derby.impl.sql.compile.ReferencedTablesVisitor;26;5;1;0.6666666666666666;0;0
org.apache.derby.impl.jdbc.authentication.BasicAuthenticationServiceImpl;33;3;0;0.0;0;3
org.apache.derby.diag.TransactionTable;67;8;6;0.8571428571428571;0;3
org.apache.derby.impl.jdbc.EmbedSQLException;48;11;4;0.96875;0;0
org.apache.derby.impl.io.DirFile4;83;8;4;0.75;0;4
org.apache.derby.impl.store.access.btree.index.B2ITableLocking3;4;2;0;0.0;0;0
org.apache.derby.iapi.jdbc.BrokeredStatement40;0;0;0;0;0;0
org.apache.derby.impl.sql.execute.DropTriggerConstantAction;51;4;2;0.75;0;5
org.apache.derby.impl.sql.compile.SetOperatorNode;127;19;2;0.8823529411764706;0;13
org.apache.derby.impl.sql.execute.TriggerEvent;27;5;11;0.6666666666666666;0;0
org.apache.derby.impl.store.raw.xact.XactXAResourceManager;66;6;2;0.625;0;4
org.apache.derby.impl.store.raw.data.UpdateOperation;80;12;4;0.7222222222222222;0;6
org.apache.derby.impl.sql.compile.BinaryOperatorNode;193;25;21;0.714285691579183;0;9
org.apache.derby.impl.sql.GenericStatement;219;11;4;0.8055555555555556;0;13
org.apache.derby.impl.sql.compile.StaticClassFieldReferenceNode;37;7;4;0.75;0;5
org.apache.derby.impl.store.raw.data.PhysicalPageOperation;11;4;0;0.0;0;0
org.apache.derby.iapi.sql.dictionary.IndexRowGenerator;124;27;2;0.5434782608695652;0;3
org.apache.derby.impl.store.access.conglomerate.GenericScanController;343;38;17;0.9009008665342588;0;13
org.apache.derby.impl.jdbc.UTF8Reader;198;12;10;0.7899999618530273;0;1
org.apache.derby.impl.sql.conn.GenericAuthorizer;92;11;7;0.7777777777777778;0;25
org.apache.derby.iapi.types.XML;0;0;0;0;0;0
org.apache.derby.impl.sql.compile.OrNode;141;8;1;0.8571428571428571;0;12
org.apache.derby.impl.jdbc.EmbedConnection;596;78;12;0.9539394124348959;0;39
org.apache.derby.impl.sql.execute.DeleteResultSet;226;13;26;0.8307692527770996;0;24
org.apache.derby.impl.store.raw.data.RawField;6;2;1;0.0;0;0
org.apache.derby.impl.sql.compile.GroupByList;148;10;1;0.8888888888888888;0;8
org.apache.derby.impl.sql.execute.TemporaryRowHolderResultSet;322;57;18;0.9567901470043041;0;11
org.apache.derby.impl.sql.compile.CompilerContextImpl;260;56;29;0.9757343574806496;0;7
org.apache.derby.impl.sql.compile.IndexToBaseRowNode;106;13;7;0.785714308420817;0;6
org.apache.derby.impl.sql.compile.DefaultVTIModDeferPolicy;26;6;2;1.0;0;3
org.apache.derby.impl.db.BasicDatabase;339;45;19;0.9583843142487282;0;26
org.apache.derby.impl.store.raw.xact.NoLocking;25;10;0;0.0;0;1
org.apache.derby.impl.store.raw.data.EncryptContainerUndoOperation;0;0;0;0;0;0
org.apache.derby.impl.store.raw.data.MemByteHolder;201;21;9;0.6023391924406353;0;1
org.apache.derby.iapi.services.cache.ClassSize;77;12;15;0.0;0;1
